CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.999289866799282
C0001,C0160,0.964655879087813
C0001,C0134,0.9311918572294455
C0002,C0029,0.9957010276321365
C0002,C0192,0.9803019004008591
C0002,C0025,0.9677000847652859
C0003,C0036,0.9822843560263196
C0003,C0177,0.9759120148186363
C0003,C0144,0.9736705930538494
C0004,C0175,0.9980347719453085
C0004,C0173,0.9915760332813376
C0004,C0108,0.985499229820579
C0005,C0073,0.9997632359260057
C0005,C0159,0.9994013848987509
C0005,C0112,0.9973831126489384
C0006,C0066,0.9631264545710321
C0006,C0185,0.9342364869237268
C0006,C0044,0.9113169980270031
C0007,C0193,0.9946703663714069
C0007,C0125,0.9898186028592005
C0007,C0176,0.976151210699048
C0008,C0090,0.9907154142541296
C0008,C0017,0.9713096204441193
C0008,C0024,0.9583394457397199
C0009,C0077,0.9969180110848981
C0009,C0097,0.9786014665414042
C0009,C0094,0.9673125156146763
C0010,C0083,0.9944448686750982
C0010,C0199,0.9909241965530003
C0010,C0025,0.9795004677806518
C0011,C0107,0.9980328003986241
C0011,C0153,0.9158057196321031
C0011,C0023,0.9092378027292928
C0012,C0046,0.9813371668113708
C0012,C0136,0.9718856850114105
C0012,C0126,0.9701950107310258
C0013,C0054,0.9942875346105879
C0013,C0022,0.9900580366347359
C0013,C0087,0.9860519374266179
C0014,C0151,0.9914065937599974
C0014,C0058,0.9900445104584666
C0014,C0033,0.9861866744213734
C0015,C0186,0.9967132125919126
C0015,C0058,0.9838135382849245
C0015,C0123,0.9755555401762963
C0016,C0183,0.9966343889934859
C0016,C0182,0.9963284920320344
C0016,C0187,0.99461384317731
C0017,C0090,0.9927547312134823
C0017,C0008,0.9713096204441193
C0017,C0093,0.9679741635597041
C0018,C0187,0.9999740936640382
C0018,C0182,0.999440051494388
C0018,C0016,0.9938459706637922
C0019,C0164,0.9365695137476894
C0019,C0091,0.9205262390139114
C0019,C0088,0.9051930016718113
C0020,C0110,0.9960382104317174
C0020,C0167,0.9932492943718624
C0020,C0078,0.9889891714720476
